115,15
111,6
98,13
54,5
177,11
155,7
197,12
100,11
20,9
51,7
192,5
20,5
113,8
38,6
82,7
19,8
154,4
34,5
85,3
82,10
109,2
144,2
62,8
181,12
64,9
155,11
174,13
73,8
31,5
193,7
15,6
82,11
154,9
44,15
113,2
63,6
144,9
72,1
132,2
191,11
195,10
104,7
153,9
140,13
57,5
15,7
23,10
152,13
129,8
73,15
78,1
113,9
190,10
185,13
76,1
58,6
67,4
187,9
110,13
191,10
119,8
109,12
55,8
114,9
80,12
43,6
69,2
196,6
94,15
68,14
182,10
173,13
171,9
198,5
87,8
57,9
148,10
24,8
185,7
95,10
167,13
197,15
121,6
148,2
91,2
195,1
39,15
120,15
99,14
32,13
137,6
102,10
135,10
137,7
174,6
91,15
25,1
38,4
59,13
107,9
